"State.UnionTerritory","Date","Day","ConfirmedIndianNational","ConfirmedForeignNational","Total Confirmed","Cured","Deaths"
"Kerala","23/03/20",54,60,7,67,3,0
"Madhya Pradesh","23/03/20",54,6,0,6,0,0
"Maharashtra","23/03/20",54,71,3,74,0,2
"Odisha","23/03/20",54,2,0,2,0,0
"Puducherry","23/03/20",54,1,0,1,0,0
"Punjab","23/03/20",54,21,0,21,0,1
"Rajasthan","23/03/20",54,26,2,28,3,0
"Tamil Nadu","23/03/20",54,7,2,9,1,0
"Telengana","23/03/20",54,22,10,32,1,0
"Chandigarh","23/03/20",54,6,0,6,0,0
"Jammu and Kashmir","23/03/20",54,4,0,4,0,0
"Ladakh","23/03/20",54,13,0,13,0,0
"Uttar Pradesh","23/03/20",54,30,1,31,9,0
"Uttarakhand","23/03/20",54,3,0,3,0,0
"West Bengal","23/03/20",54,7,0,7,0,0
"Andhra Pradesh","24/03/20",55,8,0,8,0,0
"Bihar","24/03/20",55,3,0,3,0,1
"Chhattisgarh","24/03/20",55,1,0,1,0,0
"Delhi","24/03/20",55,29,1,30,6,1
"Gujarat","24/03/20",55,32,1,33,0,1
"Haryana","24/03/20",55,14,14,28,11,0
"Himachal Pradesh","24/03/20",55,3,0,3,0,1
"Karnataka","24/03/20",55,37,0,37,3,1
"Kerala","24/03/20",55,87,8,95,4,0
"Madhya Pradesh","24/03/20",55,7,0,7,0,0
"Maharashtra","24/03/20",55,86,3,89,0,2
"Manipur","24/03/20",55,1,0,1,0,0
"Odisha","24/03/20",55,2,0,2,0,0
"Puducherry","24/03/20",55,1,0,1,0,0
"Punjab","24/03/20",55,29,0,29,0,1
"Rajasthan","24/03/20",55,30,2,32,3,0
"Tamil Nadu","24/03/20",55,13,2,15,1,0
"Telengana","24/03/20",55,25,10,35,1,0
"Chandigarh","24/03/20",55,7,0,7,0,0
"Jammu and Kashmir","24/03/20",55,4,0,4,0,0
"Ladakh","24/03/20",55,13,0,13,0,0
"Uttar Pradesh","24/03/20",55,32,1,33,11,0
"Uttarakhand","24/03/20",55,3,1,4,0,0
"West Bengal","24/03/20",55,9,0,9,0,1
"Andhra Pradesh","25/03/20",56,9,0,9,1,0
"Bihar","25/03/20",56,4,0,4,0,1
"Chhattisgarh","25/03/20",56,1,0,1,0,0
"Delhi","25/03/20",56,30,1,31,6,1
"Gujarat","25/03/20",56,37,1,38,0,1
"Haryana","25/03/20",56,14,14,28,11,0
"Himachal Pradesh","25/03/20",56,3,0,3,0,1
"Karnataka","25/03/20",56,41,0,41,3,1
"Kerala","25/03/20",56,101,8,109,4,0
"Madhya Pradesh","25/03/20",56,14,0,14,0,0
"Maharashtra","25/03/20",56,125,3,128,1,3
"Manipur","25/03/20",56,1,0,1,0,0
"Mizoram","25/03/20",56,1,0,1,0,0
"Odisha","25/03/20",56,2,0,2,0,0
"Puducherry","25/03/20",56,1,0,1,0,0
"Punjab","25/03/20",56,29,0,29,0,1
"Rajasthan","25/03/20",56,34,2,36,3,0
"Tamil Nadu","25/03/20",56,16,2,18,1,0
"Telengana","25/03/20",56,25,10,35,1,0
"Chandigarh","25/03/20",56,7,0,7,0,0
"Jammu and Kashmir","25/03/20",56,7,0,7,1,0
"Ladakh","25/03/20",56,13,0,13,0,0
"Uttar Pradesh","25/03/20",56,36,1,37,11,0
"Uttarakhand","25/03/20",56,3,1,4,0,0
"West Bengal","25/03/20",56,9,0,9,0,1
"Andaman and Nicobar Islands","26/03/20",57,1,0,1,0,0
"Andhra Pradesh","26/03/20",57,11,0,11,1,0
"Bihar","26/03/20",57,6,0,6,0,1
"Chandigarh","26/03/20",57,7,0,7,0,0
"Chhattisgarh","26/03/20",57,6,0,6,0,0
"Delhi","26/03/20",57,35,1,36,6,1
"Goa","26/03/20",57,3,0,3,0,0
"Gujarat","26/03/20",57,42,1,43,0,3
"Haryana","26/03/20",57,16,14,30,11,0
"Himachal Pradesh","26/03/20",57,3,0,3,0,1
"Jammu and Kashmir","26/03/20",57,13,0,13,1,0
"Karnataka","26/03/20",57,55,0,55,3,2
"Kerala","26/03/20",57,110,8,118,6,0
"Ladakh","26/03/20",57,13,0,13,0,0
