"State","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"Jammu and Kashmir","08/02/2020",9,0,0,0,0,0,0,0,0
"Karnataka","08/02/2020",9,0,0,0,0,0,0,0,0
"Kerala","08/02/2020",9,3,0,3,0,0,3,0,0
"Ladakh","08/02/2020",9,0,0,0,0,0,0,0,0
"Madhya Pradesh","08/02/2020",9,0,0,0,0,0,0,0,0
"Maharashtra","08/02/2020",9,0,0,0,0,0,0,0,0
"Manipur","08/02/2020",9,0,0,0,0,0,0,0,0
"Mizoram","08/02/2020",9,0,0,0,0,0,0,0,0
"Odisha","08/02/2020",9,0,0,0,0,0,0,0,0
"Puducherry","08/02/2020",9,0,0,0,0,0,0,0,0
"Punjab","08/02/2020",9,0,0,0,0,0,0,0,0
"Rajasthan","08/02/2020",9,0,0,0,0,0,0,0,0
"Tamil Nadu","08/02/2020",9,0,0,0,0,0,0,0,0
"Telengana","08/02/2020",9,0,0,0,0,0,0,0,0
"Uttar Pradesh","08/02/2020",9,0,0,0,0,0,0,0,0
"Uttarakhand","08/02/2020",9,0,0,0,0,0,0,0,0
"West Bengal","08/02/2020",9,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","09/02/2020",10,0,0,0,0,0,0,0,0
"Andhra Pradesh","09/02/2020",10,0,0,0,0,0,0,0,0
"Bihar","09/02/2020",10,0,0,0,0,0,0,0,0
"Chandigarh","09/02/2020",10,0,0,0,0,0,0,0,0
"Chhattisgarh","09/02/2020",10,0,0,0,0,0,0,0,0
"Delhi","09/02/2020",10,0,0,0,0,0,0,0,0
"Goa","09/02/2020",10,0,0,0,0,0,0,0,0
"Gujarat","09/02/2020",10,0,0,0,0,0,0,0,0
"Haryana","09/02/2020",10,0,0,0,0,0,0,0,0
"Himachal Pradesh","09/02/2020",10,0,0,0,0,0,0,0,0
"Jammu and Kashmir","09/02/2020",10,0,0,0,0,0,0,0,0
"Karnataka","09/02/2020",10,0,0,0,0,0,0,0,0
"Kerala","09/02/2020",10,3,0,3,0,0,3,0,0
"Ladakh","09/02/2020",10,0,0,0,0,0,0,0,0
"Madhya Pradesh","09/02/2020",10,0,0,0,0,0,0,0,0
"Maharashtra","09/02/2020",10,0,0,0,0,0,0,0,0
"Manipur","09/02/2020",10,0,0,0,0,0,0,0,0
"Mizoram","09/02/2020",10,0,0,0,0,0,0,0,0
"Odisha","09/02/2020",10,0,0,0,0,0,0,0,0
"Puducherry","09/02/2020",10,0,0,0,0,0,0,0,0
"Punjab","09/02/2020",10,0,0,0,0,0,0,0,0
"Rajasthan","09/02/2020",10,0,0,0,0,0,0,0,0
"Tamil Nadu","09/02/2020",10,0,0,0,0,0,0,0,0
"Telengana","09/02/2020",10,0,0,0,0,0,0,0,0
"Uttar Pradesh","09/02/2020",10,0,0,0,0,0,0,0,0
"Uttarakhand","09/02/2020",10,0,0,0,0,0,0,0,0
"West Bengal","09/02/2020",10,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","10/02/2020",11,0,0,0,0,0,0,0,0
"Andhra Pradesh","10/02/2020",11,0,0,0,0,0,0,0,0
"Bihar","10/02/2020",11,0,0,0,0,0,0,0,0
"Chandigarh","10/02/2020",11,0,0,0,0,0,0,0,0
"Chhattisgarh","10/02/2020",11,0,0,0,0,0,0,0,0
"Delhi","10/02/2020",11,0,0,0,0,0,0,0,0
"Goa","10/02/2020",11,0,0,0,0,0,0,0,0
"Gujarat","10/02/2020",11,0,0,0,0,0,0,0,0
"Haryana","10/02/2020",11,0,0,0,0,0,0,0,0
"Himachal Pradesh","10/02/2020",11,0,0,0,0,0,0,0,0
"Jammu and Kashmir","10/02/2020",11,0,0,0,0,0,0,0,0
"Karnataka","10/02/2020",11,0,0,0,0,0,0,0,0
"Kerala","10/02/2020",11,3,0,3,0,0,3,0,0
"Ladakh","10/02/2020",11,0,0,0,0,0,0,0,0
"Madhya Pradesh","10/02/2020",11,0,0,0,0,0,0,0,0
"Maharashtra","10/02/2020",11,0,0,0,0,0,0,0,0
"Manipur","10/02/2020",11,0,0,0,0,0,0,0,0
"Mizoram","10/02/2020",11,0,0,0,0,0,0,0,0
"Odisha","10/02/2020",11,0,0,0,0,0,0,0,0
"Puducherry","10/02/2020",11,0,0,0,0,0,0,0,0
"Punjab","10/02/2020",11,0,0,0,0,0,0,0,0
"Rajasthan","10/02/2020",11,0,0,0,0,0,0,0,0
"Tamil Nadu","10/02/2020",11,0,0,0,0,0,0,0,0
"Telengana","10/02/2020",11,0,0,0,0,0,0,0,0
"Uttar Pradesh","10/02/2020",11,0,0,0,0,0,0,0,0
"Uttarakhand","10/02/2020",11,0,0,0,0,0,0,0,0
"West Bengal","10/02/2020",11,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","11/02/2020",12,0,0,0,0,0,0,0,0
"Andhra Pradesh","11/02/2020",12,0,0,0,0,0,0,0,0
"Bihar","11/02/2020",12,0,0,0,0,0,0,0,0
"Chandigarh","11/02/2020",12,0,0,0,0,0,0,0,0
"Chhattisgarh","11/02/2020",12,0,0,0,0,0,0,0,0
"Delhi","11/02/2020",12,0,0,0,0,0,0,0,0
"Goa","11/02/2020",12,0,0,0,0,0,0,0,0
"Gujarat","11/02/2020",12,0,0,0,0,0,0,0,0
"Haryana","11/02/2020",12,0,0,0,0,0,0,0,0
"Himachal Pradesh","11/02/2020",12,0,0,0,0,0,0,0,0
"Jammu and Kashmir","11/02/2020",12,0,0,0,0,0,0,0,0
"Karnataka","11/02/2020",12,0,0,0,0,0,0,0,0
"Kerala","11/02/2020",12,3,0,3,0,0,3,0,0
"Ladakh","11/02/2020",12,0,0,0,0,0,0,0,0
"Madhya Pradesh","11/02/2020",12,0,0,0,0,0,0,0,0
"Maharashtra","11/02/2020",12,0,0,0,0,0,0,0,0
"Manipur","11/02/2020",12,0,0,0,0,0,0,0,0
"Mizoram","11/02/2020",12,0,0,0,0,0,0,0,0
"Odisha","11/02/2020",12,0,0,0,0,0,0,0,0
"Puducherry","11/02/2020",12,0,0,0,0,0,0,0,0
"Punjab","11/02/2020",12,0,0,0,0,0,0,0,0
"Rajasthan","11/02/2020",12,0,0,0,0,0,0,0,0
"Tamil Nadu","11/02/2020",12,0,0,0,0,0,0,0,0
"Telengana","11/02/2020",12,0,0,0,0,0,0,0,0
"Uttar Pradesh","11/02/2020",12,0,0,0,0,0,0,0,0
"Uttarakhand","11/02/2020",12,0,0,0,0,0,0,0,0
"West Bengal","11/02/2020",12,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","12/02/2020",13,0,0,0,0,0,0,0,0
"Andhra Pradesh","12/02/2020",13,0,0,0,0,0,0,0,0
"Bihar","12/02/2020",13,0,0,0,0,0,0,0,0
"Chandigarh","12/02/2020",13,0,0,0,0,0,0,0,0
"Chhattisgarh","12/02/2020",13,0,0,0,0,0,0,0,0
"Delhi","12/02/2020",13,0,0,0,0,0,0,0,0
"Goa","12/02/2020",13,0,0,0,0,0,0,0,0
"Gujarat","12/02/2020",13,0,0,0,0,0,0,0,0
"Haryana","12/02/2020",13,0,0,0,0,0,0,0,0
"Himachal Pradesh","12/02/2020",13,0,0,0,0,0,0,0,0
"Jammu and Kashmir","12/02/2020",13,0,0,0,0,0,0,0,0
"Karnataka","12/02/2020",13,0,0,0,0,0,0,0,0
"Kerala","12/02/2020",13,3,0,3,0,0,3,0,0
"Ladakh","12/02/2020",13,0,0,0,0,0,0,0,0
"Madhya Pradesh","12/02/2020",13,0,0,0,0,0,0,0,0
"Maharashtra","12/02/2020",13,0,0,0,0,0,0,0,0
"Manipur","12/02/2020",13,0,0,0,0,0,0,0,0
"Mizoram","12/02/2020",13,0,0,0,0,0,0,0,0
"Odisha","12/02/2020",13,0,0,0,0,0,0,0,0
"Puducherry","12/02/2020",13,0,0,0,0,0,0,0,0
"Punjab","12/02/2020",13,0,0,0,0,0,0,0,0
"Rajasthan","12/02/2020",13,0,0,0,0,0,0,0,0
"Tamil Nadu","12/02/2020",13,0,0,0,0,0,0,0,0
"Telengana","12/02/2020",13,0,0,0,0,0,0,0,0
"Uttar Pradesh","12/02/2020",13,0,0,0,0,0,0,0,0
"Uttarakhand","12/02/2020",13,0,0,0,0,0,0,0,0
"West Bengal","12/02/2020",13,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","13/02/2020",14,0,0,0,0,0,0,0,0
"Andhra Pradesh","13/02/2020",14,0,0,0,0,0,0,0,0
"Bihar","13/02/2020",14,0,0,0,0,0,0,0,0
"Chandigarh","13/02/2020",14,0,0,0,0,0,0,0,0
"Chhattisgarh","13/02/2020",14,0,0,0,0,0,0,0,0
